LAD14CD,LAD16NM,construction,manufacture_advanced,manufacture_agrochemical,manufacture_automotive,manufacture_chemical_pharma,manufacture_construction,manufacture_electrical,manufacture_food,manufacture_food_2,manufacture_footwear_leather,manufacture_furniture,manufacture_light_misc,manufacture_machinery,manufacture_metallurgy,manufacture_metallurgy_misc,manufacture_metallurgy_tools,manufacture_optics,manufacture_paper,manufacture_plastic,manufacture_rubber,manufacture_shipbuilding,manufacture_textiles,manufacturing_aerospace,manufacturing_misc,mining_mining,mining_oil_gas,primary_farming,primary_fishing,primary_forestry,primary_livestock,services_agriculture_rural,services_automotive,services_business_support,services_cleaning_facilities,services_computing,services_consumer_retail,services_creative,services_creative_content,services_cultural,services_education,services_energy,services_finance_insurance,services_finance_real_state,services_freight_transport,services_head_offices,services_health,services_human_resources,services_kibs,services_leisure,services_professional_public,services_publishing,services_r_and_d,services_real_estate,services_repair_transport,services_residential_social_work,services_retail_misc,services_technical_engineering,services_telecommunications,services_transport_storage,services_travelling_tourism,services_urban_transport,services_waste_recycling,wholesale_repair_machinery,wholesale_retail_misc
E06000011,East Riding of Yorkshire,0.3651218399,0.6901579817,0.2241614591,0.5599159035,0.5171576249,0.5631744557,0.5171629064,0.6323934434,0.6554208846,0.5160615049,0.6369703845,0.2649590031,0.5989456505,0.3126167002,0.0,0.3809876973,0.5156449823,0.6361081938,0.4766010585,0.4605444874,0.5433608488,0.4274653911,0.6036032587,0.7252322575,0.5643524743,0.2141404481,0.6503376324,0.4981881489,0.4763077414,0.6327769425,0.517279929,0.4332565186,0.2514411383,0.4989374429,0.4701883537,0.6109943782,0.3843324939,0.6372170654,0.3597791828,0.5529188246,0.3338564346,0.5452975687,0.177966622,0.5255785913,0.2664164508,0.5201818337,0.3589127031,0.4074655076,0.5535108428,0.4546489819,0.6570563444,0.243991378,0.4296751115,0.0598127816,0.6261040454,0.7305178617,0.503920696,0.5922439411,0.5951305997,0.5390682952,0.4559497573,0.5018639204,0.6116145954,0.5161462546
E06000012,North East Lincolnshire,0.5657429643,0.7796454043,0.388066447,0.5212214759,0.656941603,0.6634782401,0.1387846466,0.7226672769,0.6535409132,0.4096417273,0.4821656609,0.2606298245,0.8807314214,0.3016801922,8.514166498e-24,0.3194145322,0.3824647728,0.9370546167,0.5312092315,0.915968462,0.4998536752,0.6946278384,0.4932957013,0.9662858441,0.1794493509,0.3774069364,0.4723137825,0.5412105908,0.5336187871,0.8243735476,0.5161827231,0.0868991244,0.5259028616,0.6486286305,0.2267250474,0.582389004,0.4540865577,0.4080828401,0.3612450413,0.1890628657,0.4038322893,0.659765382,0.8766177466,0.5153418568,0.1085074613,0.969035499,0.7541096347,0.5400441247,0.5698998203,0.6315073695,0.6202671939,0.54315521,0.5890708183,0.9758070922,0.455421866,0.8563089715,0.5444397623,0.3046331288,0.9355374224,0.3291914821,0.0655862995,0.83357549,0.715881334,0.9579597204
E06000013,North Lincolnshire,0.3422013139,0.3778115981,0.4720236479,0.6056188616,0.6525105112,0.467263376,0.7031745182,0.5744106747,0.4204747718,0.4625813408,0.5191404382,0.2720847738,0.5749469021,0.3731486502,7.26e-07,0.6588010053,0.462305185,0.5260747596,0.5231991481,0.6909458974,0.5003477821,0.8223044288,0.4860745523,0.6651764848,0.8726989334,0.2690960785,0.6034172756,0.5079100505,0.4914270206,0.6803695584,0.5065998846,0.7379765463,0.282518268,0.4379792698,0.2228733362,0.5582280899,0.3242556896,0.3609646887,0.3460612965,0.4685742525,0.5136434064,0.4088667234,0.6869525727,0.4611484771,0.3027622991,0.6218984451,0.4764069992,0.4981528453,0.5718835643,0.558683713,0.5248288168,0.5330411916,0.5923111895,0.8462372647,0.7403517268,0.6138884366,0.5123087027,0.7705438475,0.8016204092,0.655312384,0.6327697217,0.3902360298,0.7848764285,0.5181004881
E06000014,York,0.4183288132,0.5144356971,0.4354471681,0.5038734718,0.5097879961,0.4050887184,0.7481349979,0.6029047187,0.4374385758,0.5117552752,0.5224606148,0.3011794892,0.3367012599,0.3574803043,1.20918e-05,0.3353684036,0.4867609171,0.5661538931,0.5236202614,0.295138344,0.4599155486,0.3309716612,0.4849855636,0.7113078618,0.7046506251,0.3068320861,0.6136149235,0.5101705838,0.5398761645,0.7382300512,0.4704945294,0.3316058496,0.7428577803,0.7263205745,0.7096236712,0.4432507443,0.5392691491,0.4073640753,0.6307665653,0.6307891138,0.5608752631,0.5706266096,0.3657714088,0.4810255524,0.5037316461,0.1308776745,0.759088945,0.5143614392,0.5425021065,0.7813150256,0.4380554125,0.4987870737,0.5104948858,0.0433441333,0.2056894276,0.5091624546,0.5036819901,0.0925368724,0.4556504589,0.2323170911,0.4932814557,0.3561228728,0.2394210634,0.4662671432
E06000015,Derby,0.1402710639,0.3727582465,0.3122611644,0.6645402802,0.5385303597,0.7299498444,0.8267313418,0.455100196,0.3046655027,0.4756056325,0.2541169684,0.3339831351,0.2609518556,0.3757104564,6.893e-07,0.706977069,0.5796175182,0.585890708,0.5352143672,0.8875214617,0.4875854686,0.3835510247,0.4226605464,0.5395148394,0.5594887791,0.2257798453,0.6725815087,0.4492969811,0.4289864722,0.6101267501,0.5573744885,0.5349850592,0.2757229058,0.8206401028,0.730084923,0.547247604,0.4036485288,0.3134613468,0.2028764349,0.8985926896,0.4300352575,0.8238083087,0.4575589739,0.3823437835,0.0689396617,0.6907608109,0.4127459337,0.6523003055,0.5175901117,0.4553224421,0.3244495096,0.7822046845,0.4420575857,0.1417971337,0.3448346293,0.2082041259,0.5049082199,0.5949982779,0.6050407931,0.496197295,0.8180382167,0.6783394394,0.6109783728,0.8414471616
E06000016,Leicester,0.4998033061,0.4846250469,0.3000112436,0.5043495301,0.3645071871,0.0421655875,0.1457791053,0.5449901966,0.7163411649,0.4800348344,0.2986887957,0.3870796083,0.6505003922,0.4449479838,1.154679034e-17,0.4720984076,0.4760637608,0.0509331348,0.5108438923,0.4669928948,0.4040659225,0.4746590146,0.4294882521,0.1481611045,0.8261271954,0.2892569367,0.6805823257,0.4569634588,0.4736194381,0.2550131271,0.5741577477,0.1033090868,0.6758453518,0.1215826356,0.4224926534,0.6104746728,0.0487387149,0.3876379971,0.2839853978,0.9273616593,0.3721288316,0.9526191089,0.3838852184,0.3685085027,0.5801843746,0.9990773778,0.0368833597,0.6493762909,0.4533292505,0.8978588519,0.2659594493,0.0881621772,0.2966925166,0.9902982708,0.3881474422,0.3074306125,0.4685892525,0.7282762152,0.4705853161,0.2958669916,0.2390413023,0.0441966472,0.0293531906,0.8390089831
E06000017,Rutland,0.6863113327,0.750829019,0.2951255188,0.5661869309,0.3730729066,0.4006094139,0.5667316591,0.3318440413,0.4004434105,0.5150491683,0.7087793272,0.2899073718,0.7324752734,0.3481122503,0.9788365158,0.1723563403,0.4531745379,0.3598793182,0.526524866,0.6970306478,0.4322904966,0.5111935849,0.5065383323,0.7553417907,0.03767983,0.2825055621,0.2391619712,0.4813548079,0.4907786857,0.490210251,0.5053041909,0.8836428995,0.6732899835,0.6994972431,0.7983012635,0.4905139992,0.2111551424,0.6875024783,0.3683904233,0.6325814485,0.3451657395,0.2206266173,0.6716630924,0.4400036858,0.1544500821,0.2207885523,0.4598670763,0.5139245633,0.5027289041,0.8530840116,0.6878910678,0.2450063667,0.4336804817,0.7393053641,0.5564617954,0.6500377935,0.4892602732,0.7346238409,0.628628153,0.1675107777,0.7585016266,0.5575912623,0.6607744477,0.6859584204
E06000018,Nottingham,0.6649479119,0.8544229758,0.3016321651,0.5528192536,0.6332220531,0.3685340376,0.631076069,0.3434742366,0.4337526852,0.47390028,0.516622553,0.3044134246,0.3658156399,0.3633780368,7.32759e-05,0.393187308,0.4967378972,0.53164836,0.50609972,0.3176742189,0.43604175,0.5326212894,0.481767803,0.5018015686,0.1157664612,0.2782846711,0.3973203342,0.4653080878,0.4582556578,0.4389168275,0.5517001875,0.7679978429,0.4636660175,0.7397901556,0.6453692508,0.4919841321,0.6490316282,0.4913616144,0.3177114104,0.7512434461,0.3690429223,0.6494072266,0.5990683634,0.4335184762,0.400156523,0.4064662372,0.4293336508,0.5649280221,0.4540499268,0.4740358636,0.754339259,0.5509686327,0.4604920249,0.0122025454,0.7879062243,0.4202847923,0.4748244073,0.4839198713,0.7865437707,0.7112689607,0.6013489474,0.6331936612,0.3355039823,0.6426526292
E06000019,"Herefordshire, County of",0.740931086,0.7149526183,0.3341867207,0.5866627385,0.6931724332,0.4954650215,0.1441123087,0.7137890637,0.6082372162,0.4463537492,0.8528370853,0.3230024385,0.6757205223,0.4109870205,0.0526940426,0.7580390785,0.4170300696,0.7443978562,0.5378452898,0.562133842,0.4297070055,0.595406181,0.4581788912,0.7163763809,0.4777704954,0.2954653408,0.9172386047,0.5196608126,0.5718888805,0.7947709841,0.5249511395,0.7623882345,0.2967852642,0.5402157161,0.2721884668,0.6186583325,0.4175456834,0.588401592,0.6747176879,0.5805473631,0.5810960808,0.2774997041,0.2341094129,0.4113635538,0.4846397213,0.303799968,0.4016660332,0.406256753,0.6216092894,0.4039360841,0.6368248642,0.4872363377,0.7158849364,0.5342997055,0.7599712125,0.5152167197,0.5274133947,0.5929706812,0.5946647676,0.8967300838,0.2861124442,0.4967316984,0.400805385,0.6944779319
E06000020,Telford and Wrekin,0.1178406552,0.4163510467,0.3796759695,0.6412328749,0.2599859253,0.6432341178,0.380992273,0.6510036201,0.5219190841,0.4752029305,0.4648485165,0.3317945193,0.5953078995,0.5604671278,2.96e-08,0.697559941,0.4692727229,0.5455340763,0.5378325995,0.4048835399,0.4200235484,0.5965275946,0.4818178171,0.4659738617,0.5790474281,0.2486086637,0.5081412753,0.4757924892,0.5044430194,0.5960619831,0.5230566673,0.6310420348,0.945228893,0.4718179445,0.4511473529,0.5724810994,0.9047176382,0.3025503519,0.4067290422,0.623820174,0.5244103075,0.4108877225,0.6121110786,0.386705571,0.7298646322,0.1663971224,0.8146463825,0.3931222186,0.5393464052,0.9022600097,0.4638078504,0.1141065246,0.5206059369,0.5722858196,0.6607603497,0.6464015591,0.4878080664,0.8083875318,0.5163241774,0.4884273337,0.7429384826,0.8052675952,0.6652154213,0.6108925269
E06000021,Stoke-on-Trent,0.4570022185,0.0539858761,0.3965490184,0.7397545326,0.8671225131,0.8082273021,0.6915713459,0.6763504737,0.8947550593,0.491761441,0.9183376754,0.4416602848,0.9889519921,0.6545469035,0.0070704321,0.7266448622,0.5555467604,0.742899435,0.5415345501,0.3227713492,0.4558220486,0.4741429917,0.4489843399,0.5068088273,0.1361583025,0.1774408721,0.7918183988,0.4539328229,0.5042617052,0.7918845431,0.6971855818,0.1452400054,0.6441104541,0.1278412167,0.9540398553,0.530714281,0.9625479501,0.3566022527,0.7320929118,0.0217046989,0.3148322326,0.4644674267,0.7008265639,0.3259217318,0.8234380609,0.4345715556,0.0108602426,0.5828303124,0.5508746045,0.7725846291,0.5496697109,0.5348385642,0.6115112277,0.6397742033,0.806951461,0.6717463951,0.4742294045,0.005109194,0.1989410639,0.5689933672,0.5532272731,0.7226261521,0.95076875,0.4529316752
E06000022,Bath and North East Somerset,0.7992016403,0.5489793376,0.3258792462,0.4543790666,0.7203716484,0.3153880471,0.5337956713,0.528685194,0.559076148,0.5085140872,0.376930888,0.3661523567,0.6614797767,0.3671495154,0.0002586776,0.4202886892,0.4844072263,0.5573278721,0.4987834303,0.6056902513,0.4546111459,0.4234697786,0.4922143819,0.7326408293,0.7911042003,0.334436781,0.5701687909,0.5091068707,0.5115901424,0.6096621359,0.4878067137,0.3488697007,0.7628235021,0.5355205513,0.4467398946,0.4227701211,0.4879685288,0.5696893347,0.5763324318,0.4895549435,0.5622276458,0.3467911883,0.8217744525,0.4956872781,0.2602982432,0.412967519,0.5885123952,0.4976133246,0.5194592716,0.7411179853,0.5851049517,0.4591945882,0.5772797393,0.3424216488,0.1648640291,0.3351599469,0.4952679874,0.1857586436,0.6600370919,0.5017655205,0.4759054598,0.603026113,0.534971342,0.848646942
E06000023,"Bristol, City of",0.6750098284,0.4771352551,0.3129829498,0.461147596,0.616805308,0.2970170234,0.6793047775,0.4198370923,0.5021859134,0.4896626296,0.2665400381,0.3213119011,0.5986406801,0.353804913,3.119e-07,0.3520826694,0.4805092364,0.54503337,0.4969702519,0.4583606515,0.4566005604,0.4282845733,0.5064204454,0.4778190752,0.4210220073,0.333207648,0.4012226769,0.4828373304,0.4831281267,0.4279726855,0.4952885545,0.2838436353,0.6516875393,0.7824159965,0.7087275126,0.4363741312,0.6146073268,0.5263739061,0.4645934031,0.6540814506,0.5114235966,0.4200447326,0.3164644259,0.4910449546,0.5868109545,0.3072545898,0.5566385903,0.4913097307,0.478957238,0.4839653537,0.3760418941,0.6684405701,0.4822138858,0.0136162332,0.3023173922,0.5610048225,0.4830641165,0.1856696711,0.4664275621,0.6121744316,0.7028001641,0.5955150988,0.3305471326,0.3110732034
E06000024,North Somerset,0.4663706434,0.6069737194,0.2988392875,0.4488257796,0.4592225971,0.5663756372,0.6018874101,0.50897498,0.5775195207,0.5068384803,0.4797419822,0.3225912759,0.4661146986,0.3488438553,0.0001051512,0.4518720078,0.472675883,0.5934793792,0.5123810531,0.5397879717,0.4626351789,0.4865770139,0.5094126257,0.3894335687,0.5009223861,0.3368096391,0.392748288,0.4998855323,0.5053902164,0.4493655019,0.464879889,0.5852308943,0.339092382,0.5095580704,0.6572780953,0.5082414874,0.5296503508,0.5702307124,0.6036929649,0.2299639061,0.5082182877,0.5802181486,0.5544280015,0.5008655791,0.4084348229,0.6762243741,0.6701249464,0.4499090854,0.4947749573,0.3836839509,0.4039292696,0.3742389144,0.6336822862,0.2047743376,0.7372050643,0.5082652236,0.4966858689,0.5777641126,0.5263162581,0.7177779956,0.6423605133,0.3338623571,0.5143821431,0.2487377582
E06000025,South Gloucestershire,0.5339367871,0.6052278625,0.2889691932,0.5362264513,0.5868508898,0.6883462277,0.7242420037,0.4479977124,0.4827841466,0.4825388404,0.6460264147,0.3520341241,0.3902585585,0.3634471294,0.0034487303,0.5728356503,0.4949403933,0.4945325865,0.5157428656,0.7517282032,0.4278092882,0.704963631,0.5144021567,0.4244362176,0.3850540971,0.2989310283,0.6649782526,0.4982490401,0.5045922408,0.5948929609,0.5470712708,0.5484170914,0.5168677533,0.430247376,0.3515815219,0.5147868917,0.3995363477,0.6644850928,0.585878573,0.5838482644,0.5166798789,0.437532793,0.4560866128,0.4648906823,0.4730561191,0.4121264849,0.648194592,0.4116965785,0.5598201991,0.3378210902,0.605327938,0.4000973486,0.529525008,0.1325808432,0.3792183171,0.5999939577,0.487856758,0.2976646628,0.540925798,0.5269317347,0.4318691041,0.5478311843,0.3659834453,0.2582284693
E06000026,Plymouth,0.7565069065,0.8093410473,0.4093748902,0.3952167487,0.5260841345,0.3112438031,0.2378157611,0.5602225631,0.4844919651,0.4234815374,0.5904299722,0.2696310055,0.6478837923,0.2644897028,2.29357e-05,0.3960517468,0.3547590158,0.7872604782,0.516895875,0.2035754746,0.7830604687,0.5196048571,0.5021726793,0.7000527122,0.3100953239,0.351538405,0.404565643,0.6216016231,0.5026220439,0.7011426293,0.4490684847,0.1594596583,0.2836548185,0.4586869989,0.171794405,0.6722878602,0.3206343754,0.2956070953,0.6471167791,0.3933538687,0.5272552413,0.5899842051,0.5519764641,0.7033399752,0.5068714845,0.855557578,0.34119133,0.4035268818,0.4448005518,0.4211965697,0.6604367026,0.4753989279,0.5805137564,0.0965141814,0.6247803695,0.3500561632,0.5299027721,0.7368578015,0.7505985398,0.3101925496,0.2689329798,0.3552056768,0.7172310735,0.8382751819
E06000027,Torbay,0.9640196439,0.6751799837,0.3814083413,0.4017489361,0.4329708855,0.4937459753,0.1398103432,0.5824700513,0.5341692792,0.4250208925,0.0818895461,0.2707166979,0.8959851886,0.302425189,0.0,0.4503060174,0.4020563161,0.6470210562,0.4922560673,0.1996300799,0.625583771,0.5180982705,0.4787103062,0.9357846244,0.1971429442,0.4022235403,0.6274994358,0.5907435572,0.5133318317,0.7127480648,0.504347474,0.3902933884,0.8425515679,0.2480113039,0.6361943315,0.5195862566,0.3059741554,0.2983566213,0.5678755236,0.2002166606,0.5474264,0.5733448681,0.9643696474,0.6215378436,0.2169997911,0.9594158999,0.5906957232,0.552557041,0.5070294247,0.8118255806,0.533516082,0.20441153,0.451763925,0.1484397581,0.0908431083,0.369532745,0.5383364598,0.1217260913,0.8569988756,0.1549949181,0.6055831033,0.70819907,0.2733648798,0.8898770445
E06000028,Bournemouth,0.9161381225,0.8484203783,0.3850779465,0.5014479822,0.3367518603,0.3007421985,0.3531333638,0.234717278,0.3657943911,0.4552822891,0.5774770498,0.262938682,0.2881113215,0.3180338221,0.0013111407,0.4301055629,0.4543295517,0.4240922495,0.5211322446,0.4144030876,0.6277749011,0.5512190623,0.5653300406,0.7670904222,0.271682866,0.2950276208,0.3427495178,0.5251298481,0.4648310803,0.4128825435,0.536315059,0.7545999617,0.722301972,0.6263013056,0.6182888989,0.5134382931,0.6455218202,0.7370634762,0.3970709207,0.3173572074,0.4317561311,0.3887602368,0.7990060102,0.5487919913,0.2822427328,0.2309583734,0.6006648108,0.4718193261,0.4779317641,0.6226655486,0.4832818328,0.3452415547,0.4005815438,0.0375631882,0.6448653225,0.6819211346,0.4941352936,0.4599270181,0.7602203149,0.2740879814,0.4497882816,0.7488703344,0.3233258788,0.7284897815
