LAD14CD,LAD16NM,construction,manufacture_advanced,manufacture_agrochemical,manufacture_automotive,manufacture_chemical_pharma,manufacture_construction,manufacture_electrical,manufacture_food,manufacture_food_2,manufacture_footwear_leather,manufacture_furniture,manufacture_light_misc,manufacture_machinery,manufacture_metallurgy,manufacture_metallurgy_misc,manufacture_metallurgy_tools,manufacture_optics,manufacture_paper,manufacture_plastic,manufacture_rubber,manufacture_shipbuilding,manufacture_textiles,manufacturing_aerospace,manufacturing_misc,mining_mining,mining_oil_gas,primary_farming,primary_fishing,primary_forestry,primary_livestock,services_agriculture_rural,services_automotive,services_business_support,services_cleaning_facilities,services_computing,services_consumer_retail,services_creative,services_creative_content,services_cultural,services_education,services_energy,services_finance_insurance,services_finance_real_state,services_freight_transport,services_head_offices,services_health,services_human_resources,services_kibs,services_leisure,services_professional_public,services_publishing,services_r_and_d,services_real_estate,services_repair_transport,services_residential_social_work,services_retail_misc,services_technical_engineering,services_telecommunications,services_transport_storage,services_travelling_tourism,services_urban_transport,services_waste_recycling,wholesale_repair_machinery,wholesale_retail_misc
E06000001,Hartlepool,0.9270323194,0.3661253914,0.3178136673,0.4823596554,0.333929591,0.2345466679,0.862981981,0.4375250891,0.3920961286,0.4169830066,0.2790265201,0.2508054806,0.4986745373,0.3124751732,4.167e-07,0.6640482511,0.4477029758,0.0955796141,0.5296332839,0.6124451335,0.5792621852,0.4555991368,0.5212942661,0.6269651102,0.4235794781,0.4997265747,0.4841695564,0.5168623045,0.5034291312,0.5807161668,0.4880905115,0.2855972561,0.3099302413,0.8298437648,0.2070962932,0.5802832381,0.4429301562,0.1512613861,0.4501246959,0.1805856406,0.4095307074,0.2808510442,0.5465982468,0.5283354775,0.4887804231,0.6747999588,0.6305687616,0.4702091564,0.3892570746,0.8526473243,0.1171928177,0.661849697,0.5796235266,0.1437736004,0.1274450918,0.1763358976,0.5282042449,0.5657611911,0.3653391021,0.2776733499,0.265368768,0.4351218335,0.5793165615,0.1842696088
E06000002,Middlesbrough,0.8253494924,0.2854362069,0.3029218174,0.4512368475,0.4657274716,0.1153754623,0.6148622348,0.4343690114,0.360328453,0.4299181004,0.664212923,0.2765670579,0.2509604784,0.3068193835,2.834e-07,0.4668613771,0.4326453147,0.2112925141,0.508389936,0.2287540517,0.513514103,0.6310549416,0.4783902958,0.2678443926,0.1176425317,0.4066087712,0.6336319242,0.5053029551,0.4931748276,0.6477375129,0.5153866939,0.2137046537,0.6135812801,0.358922482,0.1599414934,0.5048374665,0.2662688611,0.2525723618,0.4130873008,0.3365775898,0.4139003781,0.2989579742,0.6109167491,0.4911496262,0.6424373984,0.4324874027,0.3632303121,0.509883971,0.4738032337,0.4788968402,0.2076276472,0.4305668391,0.2246023943,0.4489897385,0.5629580082,0.3233311212,0.5106443159,0.5083918191,0.6291798479,0.0784624121,0.4635635816,0.5228846559,0.3393343919,0.7426481102
E06000003,Redcar and Cleveland,0.7752442623,0.3230807549,0.3081629964,0.4664814368,0.5646824012,0.2901152324,0.748623576,0.5225467539,0.4397965782,0.4297703159,0.7359149163,0.2709961082,0.6447649001,0.2993358642,9.542e-07,0.3024909143,0.4038827072,0.2356170733,0.5044934903,0.2455606509,0.5064844799,0.6592589261,0.4622975575,0.4776945251,0.1401832485,0.3374513271,0.5631721264,0.5363463851,0.5044790054,0.6086589398,0.5049648515,0.2117961583,0.636428173,0.4184069874,0.2103821301,0.5594131463,0.3994590716,0.2269732339,0.545763409,0.7114719448,0.4583479852,0.1787595021,0.4461559057,0.509346224,0.7500525813,0.5800535145,0.4231818883,0.4835953113,0.5021031393,0.4549027231,0.3129279679,0.4159436021,0.2000231876,0.7917567267,0.2396532845,0.5519917287,0.5275578765,0.5374653079,0.7779772379,0.2625620654,0.3168013188,0.3247697397,0.3937526646,0.735125736
E06000004,Stockton-on-Tees,0.6716998425,0.4180847262,0.2922616082,0.5093411799,0.4867122337,0.1795186752,0.8508787041,0.416701845,0.3571909825,0.4285257918,0.6603882905,0.2547363691,0.5558908034,0.3029283237,3.4e-09,0.273109797,0.4540100234,0.3051838913,0.5151843811,0.3987550858,0.5606983091,0.5294000675,0.4958899319,0.2501479676,0.2774887077,0.43426445,0.2761567689,0.5006421277,0.505304624,0.4304132412,0.435795774,0.2884672133,0.6281401972,0.5588233065,0.4718548395,0.4950007792,0.5805887201,0.3216039425,0.3628209602,0.3764192016,0.3947770943,0.2795794635,0.5429496919,0.5306569283,0.8462251475,0.3826553341,0.4671152379,0.5710971118,0.4505028549,0.664338473,0.3675771053,0.1924265556,0.2863772577,0.2711238107,0.1472425363,0.2407227925,0.5386758155,0.338507911,0.7577596275,0.3638029477,0.4128118779,0.1246179421,0.6436848201,0.4565129385
E06000005,Darlington,0.6107300154,0.6353649626,0.3266508224,0.5012914963,0.5314824904,0.3451104998,0.344814383,0.5868073455,0.3914814078,0.4429211362,0.6631475358,0.2834627547,0.3531322479,0.3236613896,1.212e-06,0.374228291,0.4525693299,0.5604981189,0.5303866921,0.5485961322,0.4952588967,0.4554856415,0.4922300237,0.6254172101,0.6131181024,0.3783910142,0.6245723151,0.5105387542,0.5209487241,0.7383055577,0.4699152758,0.4956077183,0.5563027776,0.4804279614,0.2934488113,0.5332951615,0.3538893424,0.395600542,0.568458275,0.4403842325,0.5400881058,0.4219702668,0.4876046278,0.4743109427,0.2499806141,0.8164550492,0.4140487206,0.471307347,0.5200593108,0.3264810356,0.4119166139,0.5403739231,0.4866055264,0.3126275442,0.5593210609,0.4194500865,0.5180920068,0.7387600787,0.2730584271,0.3408522457,0.4257977727,0.6254696795,0.3275165833,0.7955585592
E06000006,Halton,0.0611952939,0.7989611516,0.5047092026,0.661683955,0.7157043054,0.8594986668,0.9935774892,0.416400426,0.3795507716,0.5255226628,0.7406778455,0.2762292535,0.0230626585,0.368527022,1e-10,0.8571107666,0.551789359,0.2345812063,0.5467306461,0.8780488649,0.4341164423,0.6853193081,0.5285627283,0.3169281189,0.6227008041,0.2255807582,0.5090243371,0.4480985616,0.460968915,0.4147499184,0.5221542495,0.4900166659,0.3490725538,0.3783473933,0.0496920917,0.4969175505,0.3563059601,0.4692749509,0.2428588663,0.8650227705,0.4067044542,0.9029111372,0.1610940723,0.4248099807,0.2295602101,0.4025369461,0.8753122136,0.5711824478,0.5059627195,0.7349851177,0.5675136462,0.3040404938,0.3945151028,0.0092603931,0.6125407399,0.6918299781,0.4687754286,0.1311389029,0.9091780038,0.5328754722,0.8901357014,0.4625368796,0.5357460732,0.6590611493
E06000007,Warrington,0.5343555303,0.5315326085,0.4287151177,0.5947209896,0.332063198,0.5414648291,0.2795293685,0.4870187694,0.445272791,0.5092541684,0.5409910156,0.2921120256,0.7041994725,0.3670191484,2.2025e-06,0.6351320297,0.5216345289,0.498000333,0.5261051356,0.7600223609,0.41898164,0.5961388092,0.4971811873,0.3207136142,0.3617029971,0.2704835002,0.5825276676,0.4560690865,0.4702495081,0.4330621803,0.5045018552,0.4646257733,0.5115665902,0.7280496657,0.4213602106,0.4424992235,0.5614828055,0.4197648431,0.2918229074,0.5030741282,0.4612648445,0.2709878938,0.6677989716,0.4399071772,0.522149836,0.5975541857,0.7562424929,0.4977446724,0.4630625888,0.5309048598,0.2553262141,0.6777862864,0.5953242687,0.676532278,0.3234390365,0.3147204376,0.4728060941,0.594005735,0.4449871436,0.71877977,0.6728247178,0.5809493054,0.3381068905,0.484575842
E06000008,Blackburn with Darwen,0.3466582622,0.1885970938,0.336124007,0.6041266168,0.4433269585,0.2393742974,0.1120326872,0.4633477673,0.5710389116,0.4777683006,0.5567463461,0.3220405099,0.4443687015,0.388115106,0.0,0.645533219,0.4435470887,0.8081002789,0.5219928116,0.778874091,0.4207022218,0.2570498162,0.4682364617,0.6543677634,0.203280495,0.2599015207,0.8443816565,0.466247963,0.4764184226,0.7971933249,0.561394664,0.1259472537,0.4803633294,0.3090792341,0.4985826801,0.542164223,0.6991386548,0.3376287328,0.267268145,0.2851027009,0.3945114096,0.623301658,0.0825892865,0.3915357624,0.772680822,0.5724237918,0.4935663341,0.5255139104,0.5162300321,0.3720907123,0.376666664,0.3449234742,0.5097962361,0.4881981091,0.773572383,0.5937102419,0.4903352499,0.4229989634,0.2493363579,0.572820236,0.1810300301,0.3976159682,0.3708853533,0.5282243253
E06000009,Blackpool,0.9314360324,0.1416984935,0.3654117993,0.4052233435,0.5997962969,0.3794050042,0.2714912286,0.4174325485,0.4814517307,0.439900322,0.6562876722,0.2890293692,0.7734213172,0.3329546929,0.0,0.669799714,0.4345253488,0.651510033,0.4913015358,0.1480941622,0.5455320634,0.523870151,0.4792330206,0.48707338,0.4919185281,0.3418087052,0.9149285977,0.5349877886,0.483224665,0.8606504379,0.5772459796,0.7547418361,0.9672546596,0.2166078857,0.7475722023,0.4771104186,0.4295017909,0.3528714899,0.3717746861,0.1843910639,0.5535678854,0.3979338857,0.6684695908,0.493183688,0.8559679611,0.7229476493,0.3027759042,0.6109238049,0.5362346865,0.8147070885,0.259963768,0.0665682361,0.0286247372,0.0047402732,0.7314866352,0.6151692701,0.539035417,0.254547731,0.7899745845,0.6171942537,0.5126008945,0.3226520947,0.0845108266,0.4374003945
E06000010,"Kingston upon Hull, City of",0.1228110673,0.7812672462,0.8598382813,0.6880729249,0.4387893002,0.7823432391,0.4783939435,0.7327507049,0.5822444541,0.5946211847,0.5484310837,0.2507066124,0.6074306199,0.4840450931,0.0,0.7032148735,0.5893561042,0.5664159884,0.5904831508,0.8895481832,0.5689063605,0.7155551877,0.5945011271,0.5670043658,0.9600323928,0.2070761614,0.6526648712,0.5022219162,0.5484318173,0.8470398842,0.5439980183,0.3861218687,0.3983710219,0.3791713264,0.4012812875,0.6286463241,0.7419855595,0.3714847563,0.4529470339,0.5661654673,0.4973178624,0.7592136903,0.4899448826,0.5189017516,0.7821867941,0.4186801389,0.6069459477,0.4224674371,0.5311814316,0.7058906502,0.5759114272,0.679921155,0.634090572,0.2931678875,0.8445870689,0.5329671057,0.4778100017,0.3500924666,0.6222719448,0.5400509892,0.106772465,0.6179991468,0.5725689906,0.7985526165
